Group,Message,Caches,Send before Reply,Optimization,Time

A group,4 bytes,off,yes,off,830us
A group,64 bytes,off,yes,off,1470us
A group,4 bytes,on,yes,off,50us
A group,64 bytes,on,yes,off,100us
A group,4 bytes,off,no,off,920us
A group,64 bytes,off,no,off,1570us
A group,4 bytes,on,no,off,60us
A group,64 bytes,on,no,off,100us
A group,4 bytes,off,yes,on,broken
A group,64 bytes,off,yes,on,broken
A group,4 bytes,on,yes,on,broken
A group,64 bytes,on,yes,on,broken
A group,4 bytes,off,no,on,broken
A group,64 bytes,off,no,on,broken
A group,4 bytes,on,no,on,broken
A group,64 bytes,on,no,on,broken
